date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:41	24363/24363	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:44:41%20GMT	https://www.mischunches.com/es/servicios-diseno-web/proceso-diseno-web/	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/es/servicios-diseno-web/proceso-diseno-web/index.html	(from https://www.mischunches.com/)
11:44:42	23186/23186	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:44:41%20GMT	https://www.mischunches.com/es/contacto/	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/es/contacto/index.html	(from https://www.mischunches.com/)
11:44:42	25434/25434	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2023:11:02%20GMT	https://www.share.sitiosweb-costarica.com/img/content/diseno-sitiosweb-mischunches.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/diseno-sitiosweb-mischunches.jpg	(from https://www.mischunches.com/)
11:44:42	26985/26985	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2012:21:43%20GMT	https://www.share.sitiosweb-costarica.com/img/websites/mobile-alternativa-ambiental.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/websites/mobile-alternativa-ambiental.jpg	(from https://www.mischunches.com/)
11:44:42	35251/35251	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2012:21:51%20GMT	https://www.share.sitiosweb-costarica.com/img/websites/web-alternativa-ambiental.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/websites/web-alternativa-ambiental.jpg	(from https://www.mischunches.com/)
11:44:43	74299/74299	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Dec%202018%2023:11:03%20GMT	https://www.share.sitiosweb-costarica.com/img/content/feliz-sitio-web.png	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/feliz-sitio-web.png	(from https://www.mischunches.com/)
11:44:44	62352/62352	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2004:14:22%20GMT	https://www.share.sitiosweb-costarica.com/img/websites/monitor-apvportones.png	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/websites/monitor-apvportones.png	(from https://www.mischunches.com/)
11:44:44	1734/1734	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Dec%202018%2017:10:31%20GMT	https://www.share.sitiosweb-costarica.com/img/clientes/logos/apvportones.png	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/clientes/logos/apvportones.png	(from https://www.mischunches.com/)
11:44:44	26043/26043	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2023:11:01%20GMT	https://www.share.sitiosweb-costarica.com/img/content/beneficios-sitio-web.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/beneficios-sitio-web.jpg	(from https://www.mischunches.com/)
11:44:45	24718/24718	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2023:11:03%20GMT	https://www.share.sitiosweb-costarica.com/img/content/dominio.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/dominio.jpg	(from https://www.mischunches.com/)
